Definition,Sentence
customs authorities,"The Customs 2020 programme set up under Regulation (EU) No 1294/2013 (3) and its predecessor programmes have significantly contributed to facilitating and enhancing customs cooperation between customs authorities, as well as to building their administrative, human and information technology (IT) capacity. Since many of the activities of the customs authorities are of a cross-border nature, a more effective and efficient way of developing such cooperation is to offer Member States a framework within which it can take place by establishing a customs programme at Union level, implemented by the Commission. Moreover, the Customs 2020 programme has proved to be cost-efficient and has added real value to other customs cooperation frameworks set up on a bilateral or multilateral basis. In addition, the Customs 2020 programme has contributed to safeguarding the financial interests of the Union and of the Member States by supporting the effective collection of customs duties. Furthermore, harmonised customs procedures are important to achieve equivalent results in the prevention of fraud and of illegal cross-border flows of goods. It is therefore appropriate, efficient and in the interest of the Union to continue financing activities in the field of customs cooperation by establishing a new programme, the Customs programme (‘the Programme’)."
customs authorities,"For 50 years, the customs union has been one of the cornerstones of the Union, which is one of the largest trading blocks in the world. The customs union is a significant example of successful Union integration, and is essential for the proper functioning of the internal market for the benefit of both businesses and citizens. The customs union has evolved considerably over this period and customs authorities are successfully carrying out a wide range of tasks at the borders. Working together, they strive to facilitate legitimate and fair trade, reduce bureaucracy, collect revenue for national and Union budgets, and help to protect the citizens against terrorist, health, environmental and other threats. In particular, by introducing a common risk management framework at Union level and by controlling cash flows to combat money laundering and terrorist financing, the customs authorities play an important role in the fight against terrorism, organised crime and unfair competition. Given their extensive mandate, the customs authorities are effectively the leading authorities for the control of goods at the Union’s external borders. A stronger and a more ambitious Union can only be achieved if the necessary resources are available. In that context, the Programme should not only cover customs cooperation, but should also provide support for the wider mission of customs authorities, as provided for in Article 3 of Regulation (EU) No 952/2013 of the European Parliament and of the Council (4), namely the supervision of the Union’s international trade, thereby contributing to the implementation of the external aspects of the internal market, of the common commercial policy and of the other common Union policies having a bearing on trade, and to overall supply chain security."
customs authorities,"The Programme should assist the Member States and the Commission by providing a framework for actions that aim to support the customs union and the customs authorities working together and acting as one; to contribute to protecting the financial and economic interests of the Union and its Member States; to ensure the security and safety of the Union and its residents, thereby contributing to consumer protection; to protect the Union from unfair and illicit commercial practices, while facilitating legitimate business activity; and to facilitate legitimate trade so that businesses and citizens can benefit from the full potential of the internal market and world trade."
customs authorities,"Customs is a dynamic policy area facing new challenges, such as globalisation, new patterns in fraud and smuggling, and digitalisation. These challenges increase the demand for support to customs authorities and call for innovative solutions. They further underline the need to reinforce cooperation between customs authorities."
customs authorities,"In accordance with the Commission’s commitment to ensure the coherence and simplification of funding programmes, set out in its Communication of 19 October 2010 entitled ‘The EU Budget Review’, resources should be shared with other Union funding instruments if the actions envisaged under the Programme pursue objectives that are common to various funding instruments, provided that this does not result in double financing. Actions under the Programme should ensure coherence in the use of the Union’s resources supporting the customs union and customs authorities."
customs authorities,"IT capacity-building actions are expected to attract the greatest share of the budget under the Programme. Among those IT capacity-building actions, top priority should be given to those actions related to electronic systems that are necessary for the implementation of the customs union and for customs authorities to carry out their mission. The common and national components of the European electronic systems should be defined in this Regulation. Combinations of common and national components are possible. Moreover, the scope of actions and the responsibilities of the Commission and the Member States should be clearly defined."
customs authorities,"‘customs authorities’ means the customs authorities as defined in point (1) of Article 5 of Regulation (EU) No 952/2013;"
customs authorities,"‘European electronic systems’ means electronic systems necessary for the customs union and for the execution of the mission of customs authorities, in particular the electronic systems referred to in Article 16(1) and Articles 278 and 280 of Regulation (EU) No 952/2013, Article 8 of Regulation (EU) 2019/880 of the European Parliament and of the Council (17), and in other provisions of Union law governing electronic systems for customs purposes, including international agreements, such as the Customs Convention on the international transport of goods under cover of TIR carnets (TIR Convention) (18);"
customs authorities,"1.   The general objective of the Programme is to support the customs union and customs authorities working together and acting as one to protect the financial and economic interests of the Union and its Member States, to ensure security and safety within the Union and to protect the Union from unfair and illegal trade, while facilitating legitimate business activity."
customs authorities,"3.   In accordance with point (f) of the first paragraph of Article 195 of the Financial Regulation, grants shall be awarded without a call for proposals where the eligible entities are customs authorities of participating countries, provided that the conditions set out in Article 5 of this Regulation are met."
