Definition,Sentence
work or other subject matter,"‘work or other subject matter’ means a work in the form of a book, journal, newspaper, magazine or other kind of writing, notation, including sheet music, and related illustrations, in any media, including in audio form such as audiobooks and in digital format, which is protected by copyright or related rights and which is published or otherwise lawfully made publicly available;"
work or other subject matter,"‘accessible format copy’ means a copy of a work or other subject matter in an alternative manner or form that gives a beneficiary person access to the work or other subject matter, including allowing such person to have access as feasibly and comfortably as a person without any of the impairments or disabilities referred to in point 2;"
work or other subject matter,"An authorised entity established in a Member State may distribute, communicate or make available to beneficiary persons or to an authorised entity established in a third country that is a party to the Marrakesh Treaty an accessible format copy of a work or other subject matter made in accordance with the national legislation adopted pursuant to Directive (EU) 2017/1564."
work or other subject matter,"A beneficiary person or an authorised entity established in a Member State may import or otherwise obtain or access and thereafter use, in accordance with the national legislation adopted pursuant to Directive (EU) 2017/1564, an accessible format copy of a work or other subject matter that has been distributed, communicated or made available to beneficiary persons or to authorised entities, by an authorised entity in a third country that is a party to the Marrakesh Treaty."
beneficiary person,"Directive (EU) 2017/1564 of the European Parliament and of the Council (6) aims to implement the obligations that the Union has to meet under the Marrakesh Treaty in a harmonised manner in order to improve the availability of accessible format copies for beneficiary persons in all of the Member States of the Union and the circulation of such copies within the internal market, and requires Member States to introduce a mandatory exception to certain rights that are harmonised by Union law. This Regulation aims to implement the obligations under the Marrakesh Treaty with respect to the export and import arrangements for accessible format copies for non-commercial purposes for the benefit of beneficiary persons between the Union and third countries that are parties to the Marrakesh Treaty, and to lay down the conditions for such export and import in a uniform manner within the field harmonised by Directives 2001/29/EC and (EU) 2017/1564 in order to ensure that those measures are applied consistently throughout the internal market and do not jeopardise the harmonisation of exclusive rights and exceptions contained within those Directives."
beneficiary person,"This Regulation should ensure that accessible format copies of books, including e-books, journals, newspapers, magazines and other kinds of writing, notation, including sheet music, and other printed material, including in audio form, whether digital or analogue, which have been made in any Member State in accordance with the national provisions adopted pursuant to Directive (EU) 2017/1564 can be distributed, communicated, or made available, to a beneficiary person or authorised entity, as referred to in the Marrakesh Treaty, in third countries that are parties to the Marrakesh Treaty. Accessible formats include, for example, Braille, large print, adapted e-books, audio books and radio broadcasts. Taking into account the ‘non-commercial objective of the Marrakesh Treaty’ (7), the distribution, communication to the public or making available to the public of accessible format copies to persons who are blind, visually impaired or otherwise print-disabled or to authorised entities in the third country should only be carried out on a non-profit basis by authorised entities established in a Member State."
beneficiary person,"This Regulation should also allow for the importation of, and access to, accessible format copies made in accordance with the implementation of the Marrakesh Treaty, from a third country, by beneficiary persons in the Union and authorised entities established in a Member State, for non-commercial purposes for the benefit of persons who are blind, visually impaired or otherwise print-disabled. It should be possible for those accessible format copies to circulate in the internal market under the same conditions as accessible format copies made in the Union in accordance with Directive (EU) 2017/1564."
beneficiary person,"In order to improve the availability of accessible format copies and to prevent the unauthorised dissemination of works or other subject matter, authorised entities which engage in the distribution, communication to the public or making available to the public of accessible format copies should comply with certain obligations. Initiatives by Member States to promote the objectives of the Marrakesh Treaty and the exchange of accessible format copies with third countries that are parties to that treaty, and to support authorised entities to exchange and make information available, should be encouraged. Such initiatives could include the development of guidelines or best practices on the making and dissemination of accessible format copies in consultation with representatives of authorised entities, beneficiary persons and rightholders."
beneficiary person,"Since the objective of this Regulation, namely to implement in a uniform manner the obligations under the Marrakesh Treaty with respect to the export and import between the Union and third countries that are parties to the Marrakesh Treaty of accessible format copies of certain works and other subject matter for non-commercial purposes for the benefit of beneficiary persons, and to lay down the conditions for such export and import, cannot be sufficiently achieved by the Member States, but can rather, by reason of its scale and effects, be better achieved at Union level, the Union may adopt measures in accordance with the principle of subsidiarity as set out in Article 5 of the Treaty on European Union. In accordance with the principle of proportionality as set out in that Article, this Regulation does not go beyond what is necessary in order to achieve that objective."
beneficiary person,"‘beneficiary person’ means, regardless of any other disabilities, a person who:"
