Definition,Relation
personal data,personal data is a hyponym of information
processing,processing is a hyponym of operation
processing,processing is a hyponym of set
restriction of processing,restriction of processing is a hyponym of marking
profiling,profiling is a hyponym of automated processing
pseudonymisation,pseudonymisation is a hyponym of processing
filing system,filing system is a hyponym of structured set
controller,controller is a hyponym of natural or legal person
controller,controller is a hyponym of public authority
controller,controller is a hyponym of agency
controller,controller is a hyponym of other body
processor,processor is a hyponym of natural or legal person
processor,processor is a hyponym of public authority
processor,processor is a hyponym of agency
processor,processor is a hyponym of other body
recipient,recipient is a hyponym of natural or legal person
recipient,recipient is a hyponym of public authority
recipient,recipient is a hyponym of agency
recipient,recipient is a hyponym of body
third party,third party is a hyponym of natural or legal person
third party,third party is a hyponym of public authority
third party,third party is a hyponym of agency
third party,third party is a hyponym of body
consent,"consent is a hyponym of freely given, specific, informed and unambiguous indication"
personal data breach,personal data breach is a hyponym of breach
genetic data,genetic data is a hyponym of personal data
biometric data,biometric data is a hyponym of personal data
data concerning health,data concerning health is a hyponym of personal data
main establishment,main establishment is a hyponym of place
main establishment,main establishment is a hyponym of establishment
representative,representative is a hyponym of natural or legal person
enterprise,enterprise is a hyponym of natural or legal person
group of undertakings,group of undertakings is a hyponym of controlling undertaking
group of undertakings,group of undertakings is a hyponym of controlled undertakings
binding corporate rules,binding corporate rules is a hyponym of personal data protection policies
supervisory authority,supervisory authority is a hyponym of independent public authority
supervisory authority concerned,supervisory authority concerned is a hyponym of supervisory authority
cross-border processing,cross-border processing is a hyponym of processing
relevant and reasoned objection,relevant and reasoned objection is a hyponym of objection
information society service,information society service is a hyponym of service
international organisation,international organisation is a hyponym of organisation
international organisation,international organisation is a hyponym of subordinate bodies
