Definition,Relation
substance,substance is a hyponym of substance
mixture,mixture is a hyponym of mixture
article,article is a hyponym of article
making available,making available is a hyponym of supply
introduction,introduction is a hyponym of act
use,use is a hyponym of use
suspicious transaction,suspicious transaction is a hyponym of transaction
member of the general public,member of the general public is a hyponym of natural or legal person
professional user,professional user is a hyponym of natural or legal person
professional user,professional user is a hyponym of public entity
professional user,professional user is a hyponym of group
economic operator,economic operator is a hyponym of natural or legal person
economic operator,economic operator is a hyponym of public entity
economic operator,economic operator is a hyponym of group
online marketplace,online marketplace is a hyponym of provider
restricted explosives precursor,restricted explosives precursor is a hyponym of substance
regulated explosives precursor,regulated explosives precursor is a hyponym of substance
agricultural activity,agricultural activity is a hyponym of production
agricultural activity,agricultural activity is a hyponym of rearing
agricultural activity,agricultural activity is a hyponym of growing
